Timestamp,Short_Name,Full_Name,Multisite_Study,Territory,Continent,Location,City,Current_Total,Current_PD,Current_nonPD,Proposed_Samples_by2022,Processed_Samples,Participant_type,Study_type,Cohort_completion_Year,"Notes (too much cleaning, missing info, something)",COLUMN,VALUE,DESCRIPTION
6/11/20 8:15,MIND,Molecular Integration in Neurological Diagnosis,No,USA,North America,Pennsylvania,Philadelphia,908,908,0,2200,,PD only,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",9999,"Google states it is at UPenn, which is in Philadelphia, Pennsylvania (Added city and state for American city)",,,
6/14/20 19:44,UPenn-U19,UPenn Udall/U19,No,USA,North America,Pennsylvania,Philadelphia,800,600,200,1000,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,"Google states it is at UPenn, which is in Philadelphia, Pennsylvania (Added city and state for American city)",,,
6/14/20 19:49,MPBC,Multipark's Biobank Sample Collection,No,Sweden,Europe,Lund,,2012,1011,1001,2012,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2014,,,,
6/25/20 7:58,ProPark,Profiling Parkinson's disease,Yes,The Netherlands,Europe,N/A,,0,0,0,600,,"PD only, in the fure controls will be added",Longitudinal (prospective): multiple face-to-face assessments,2020,,,,
7/8/20 15:22,LCC,LRRK2 Cohort Consortium,Yes,USA,North America,New York,New York,706,306,400,689,,"Idiopathic PD subjects, PD subjects with genetic mutations in the LRRK2 gene, unaffected subjects with genetic mutations in the LRRK2 gene, and healthy controls",Longitudinal (prospective): multiple face-to-face assessments,2011,"Multisite and multi-country, not sure if we want to say New York (since 2 of the institutes are from there)?",,,
7/17/20 5:43,Identification of the genetic and epigenetic causes of neurologic diseases,Identification of the genetic and epigenetic causes of neurologic diseases,No,Germany,Europe,N/A,,800,800,0,1200,,"PD, ET, DYT",Longitudinal (prospective): multiple face-to-face assessments,2012,,,,
7/17/20 6:29,PROPSOS,Prospective Study of Parkinsonism in Oslo,No,Norway,Europe,Oslo,,60,35,25,250,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
7/17/20 7:24,ASAP GP2 - Seville,Seville cohort,No,Spain,Europe,Seville,,2400,860,1540,2800,,PD cases and controls,Longitudinal (retrospective),9999,Added study short name,,,
7/28/20 5:53,PICNICS,Parkinsonism: Incidence and CogNItive heterogeneity in CambridgeShire,No,UK,Europe,Cambridge,,280,280,0,280,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2013,,,,
7/29/20 9:02,CamPaIGN,Cambridgeshire Parkinson's Incidence from GP to Neurologist,No,UK,Europe,Cambridge,,142,142,0,142,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2002,,,,
8/5/20 12:46,CPRC,Cambridge Parkinson's Research Clinic ,No,UK,Europe,Cambridge,,180,180,0,250,,PD only,Longitudinal (prospective): multiple face-to-face assessments,9999,"Not really a ""cohort"", hence no short name (added a short name for completeness)",,,
8/5/20 13:15,NS-PARK cohort,Cohort of the French Clinical Research Network for Parkinson's Disease,Yes,France,Europe,Paris,,26000,26000,0,2000,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2025,,,,
8/6/20 11:41,DIGPD,Drug Interaction With Genes in Parkinson's Disease,Yes,France,Europe,Paris,,400,400,0,400,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2018,,,,
8/25/20 19:34,BADGE-PD,Behavioural Addiction and Genetics in Parkinson's Disease,Yes,France,Europe,Paris,,304,304,0,304,,2 groups: PD with ICD (n=172) and PD without ICD (n=132),"Cross-sectional: one assessment only, with no further contact",2015,,,,
9/9/20 10:26,Etude clinico-génétique des pathologies des noyaux gris centraux,Clinico-genetic study of pathologies of the basal ganglia,Yes,France,Europe,Paris,,6600,6000,600,700,,"Defined PD group, e.g. early onset PD, familial PD, DBS","Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2020,,,,
9/10/20 8:19,FAIRPARK II,"Conservative iron chelation as a disease-modifying strategy in Parkinson's disease: a multicentric, parallel group, placebo-controlled, randomized clinical trial of deferiprone",Yes,France,Europe,Lille,,372,372,0,372,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2021,,,,
9/17/20 20:58,ICEBERG,Etude Des Facteurs prédictifs de l'Apparition et de l'évolution de la Maladie de Parkinson,No,France,Europe,Paris,,234,165,69,250,,"PD, controls and idiopathic RBD",Longitudinal (prospective): multiple face-to-face assessments,2023,,,,
9/18/20 16:58,PREDISTIM,Predictive Factors for Therapeutic Response of Subthalamic Stimulation on Quality of Live in Parkinson's Disease,Yes,France,Europe,Lille,,664,664,0,600,,PD patients undergoing DBS only,Longitudinal (prospective): multiple face-to-face assessments,2019,,,,
9/22/20 10:49,PRoBaND,Tracking Parkinson's,Yes,UK,Europe,Glasgow,,2614,2270,344,2614,,"PD cases (2 groups: sporadic, young onset) and siblings",Longitudinal (prospective): multiple face-to-face assessments,2017,,,,
9/22/20 12:39,OPDC Discovery Cohort,Oxford Parkinson's Disease Centre Discovery Cohort,Yes,UK,Europe,Oxford,,1346,1026,320,1346,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,Switched names around to put acronym in correct place,,,
9/23/20 5:53,QPN,Quebec Parkinson Network,Yes,Canada,North America,Quebec,,1550,1500,50,3100,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
9/29/20 9:21,C-OPN,Canadian Open Parkinson Network,Yes,Canada,North America,Calgary,,0,0,0,1500,,PD only,Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
10/1/20 17:59,GBA1-Netherlands,Large-scale GBA1 screening in the Netherlands,No,Netherlands,Europe,Leiden,,3402,3402,0,3402,,PD only,"Cross-sectional: one assessment only, with no further contact",2018,City retreived from PI affiliation (added a short name for completeness),,,
10/21/20 3:23,CIDR,Genome Wide Association Study in Familial Parkinson Disease at Center for Inherited Disease Research,Yes,USA,North America,Maryland,Baltimore,1464,564,900,1464,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2009,CIDR actually stands for Center for Inherited Disease Research but seems like the study is named as the full name: https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000126.v1.p1 and is at Center for Inherited Disease Research based Johns Hopkins,,,
9/24/20 2:34,OVIEDOPARK,Spanish GWAS,Yes,Spain,Europe,N/A,,1000,800,200,1150,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,2019,Don't know how to obtain data on the sites included in the multi-center study. No info on institution (=no info for city). V2 starts here?,,,
9/25/20 6:48,ASAP GP2 - Spain,ASAP GP2 - Spain,Yes,Spain,Europe,N/A,,340,300,40,470,,PD cases and controls,Longitudinal (retrospective),9999,No long study name. No info on institution. Study listed only as GP2 in Spain,,,
9/30/20 10:14,LARGE-PD,Latin American Consortium on the Genetics of PD,Yes,USA,North America,N/A,,2559,1364,1195,9000,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,No info on institution. (LARGE-PD not recruiting?),,,
10/2/20 17:01,CORIELL,Coriell database,Yes,USA,North America,New Jersey,,8589,4478,4111,8589,3767,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2019,No info on institution.  No main region but multi-region. Retreived processed ssamples from Total samples passing basic QC [N] in GenoTracker,,,
10/18/20 13:40,Genes and Phenotypes of PD,Genes y Fenotipos de síndromes parkinsonianos: estudio clínico y experimental (PI19/00126),Yes,Spain,Europe,Barcelona,,205,109,96,355,,Juvenile PD (under 50 years) and controls,Longitudinal (prospective): multiple face-to-face assessments,2020,,,,
10/26/20 12:51,ASAP GP2 - Barcelona,Global Parkinson’s Genetics Program,Yes,Spain,Europe,Barcelona,,800,300,500,1600,,"Defined PD group, e.g. early onset PD, familial PD, DBS",Longitudinal (prospective): multiple face-to-face assessments,2023,Study listed only as GP2 in Spain,,,
11/2/20 7:55,Parkinson's disease,,No,Spain,Europe,Santander,,750,500,250,880,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,No long study name and the short one is Parkinson's disease?,,,
11/13/20 5:35,KzPD,Genetic characterisation of Kazakhtani Parkinson's Disease,No,Kazakhstan,See comment,London,,241,241,0,541,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,"Instituion UCL, main site Kazakstan (UCL led a study in KZ)",,,
11/27/20 8:55,AGPDS,Australian genetics of Parkinson's disease study,Yes,Australia,Asia/Oceania,Brisbane,Herston,1586,1586,0,20086,,PD cases,Longitudinal (prospective): multiple face-to-face assessments,9999,"""At this point we only have PD cases, but would like to recruit controls matched by sex, age and region of origin.""",,,
12/9/20 2:31,PD-NEF,Mitochondrial involvement as a marker of endophenotype in Parkinson's disease,Yes,Finland,Europe,Oulu,,590,590,0,590,,PD only,Longitudinal (retrospective),2018,,,,
12/10/20 12:45,GenePARKGR,Genetic Basis of Parkinson's disease in Greece,Yes,Greece,Europe,Thessaly,,823,480,343,1055,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,"The university is in the region Thessaly, involves several cities",,,
12/20/20 9:58,Malaysian Parkinson's Genetics Cohort,Malaysian Parkinson's Genetics Cohort,Yes,Malaysia,Asia/Oceania,Kuala Lumpur,,3100,2300,800,3700,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
1/21/21 16:06,ASAP GP2 - Athens,GP2 Complex Trait Study,Yes,Greece,Europe,Athens,,900,500,400,1030,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,"Added study name, typo in city",,,
2/4/21 8:51,PPP,Parkinson op Maat /  Personalized Parkinson’s Project,No,Netherlands,Europe,Nijmegen,,520,520,0,520,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2020,,,,
2/10/21 9:09,Sudden Death Cohort,UK Brain Bank Network,No,UK,Europe,Edinburgh,,330,10,320,355,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,,,,
2/22/21 0:33,Sydney Brain Bank,Sydney Brain Bank,No,Australia,Asia/Oceania,Sydney,,154,127,27,184,,"Ageing, movement disorder and dementia cases",Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
2/22/21 10:20,DeNoPa,de novo Parkinson study Kassel,No,Germany,Europe,Kassel,,240,140,100,240,,"PD, healthy controls and prodromal with isolated REM sleep behaviour disorder",Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
2/23/21 10:44,MD-GAP,Defining and diagnosing neurodegenerative Movement Disorders through integrated analysis of Genetics And neuroPathology ,Yes,UK,Europe,London,,1098,828,270,1874,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2026,,,,
3/1/21 11:09,ASAP GP2 - London,Global Parkinson's Genetics Program,Yes,USA,,London,,90,60,30,110,,"PD, DLB, PDD, Controls","Cross-sectional: one assessment only, with no further contact",9999,"Study listed as GP2. No main region but multi-region, USA vs London, added study name ",,,
3/4/21 2:38,ProtectMove,ProtectMove,No,Germany,Europe,Lubeck,,2258,787,1471,4958,,PD cases and controls,Observational study,9999,Adding a full name for completeness,,,
3/10/21 15:51,GeneFinder,Genetic Factors for Inherited Neurodegenerative diseases in Egyptian Regions,Yes,Egypt,Africa,Hannover,,870,420,450,870,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2021,"Hannovar is in Germany, yet this is in Egypt",,,
3/15/21 19:52,JPDS,Jikei Parkinson's Disease Study,Yes,Japan,Asia/Oceania,Tokyo,,200,200,0,200,,PD only,"Cross-sectional: one assessment only, with no further contact",9999,,,,
3/19/21 7:06,Manchester Brain Bank,Manchester Brain Bank,No,UK,Europe,Manchester,,103,7,96,103,,"Brain donations with confirmed alpha-synucleinopathy (PD, PDD, MSA, PSP, CBD and DLB)",Longitudinal (retrospective),9999,,,,
3/23/21 12:30,PD-GEN,Clinical and molecular characterisation and genotype-phenotype correlations of PD patients,No,Italy,Europe,Pavia,,290,250,40,570,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,Made the cohort name to lower case letters,,,
3/28/21 9:06,proATYP,"Prospective, observational study to identify early biomarkers in parkinsonian syndromes",No,Greece,Europe,Athens,,40,20,20,290,,"early Parkinsonism cases, including PD and atypical Parkinsonism",Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
3/31/21 6:38,Identification of genetic risk factors in Parkinson Disease,Identification of genetic risk factors in Parkinson's disease,Yes,Spain,Europe,Granada,,453,453,0,453,,PD only,"Cross-sectional: one assessment only, with no further contact",2017,Short name and long name are the same,,,
3/31/21 10:13,PUKBB,Parkinson's UK Brain Bank,Yes,UK,Europe,London,,1600,1300,300,1600,,PD cases and controls,Longitudinal (retrospective),9999,,,,
4/14/21 8:25,Biological biomarkers in Parkinson's disease,,Yes,Greece,Europe,Athens,,300,200,100,600,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,,,,
4/19/21 8:32,ECMPDC,Epidemiological Clinical and Molecular Study of Parkinson Disease on Crete ,No,Greece,Europe,Crete,,1350,600,750,1480,,"PD cases, 1rst degree relatives of familial cases, Controls, other parkinsonian patients ",Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
5/24/21 12:06,PDS,Parkinson's Disease Study,No,Greece,Europe,Athens,,0,0,0,110,,PD only,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",9999,,,,
5/11/21 5:11,PREDICT-PD,PREDICT-PD,No,UK,Europe,London,,5050,50,5000,9100,,UK residents aged 60-80 risk stratified for future PD,Longitudinal (prospective): multiple face-to-face assessments,2021,,,,
5/11/21 5:24,ELPD project,East London PD Project,No,UK,Europe,London,,150,100,50,550,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2022,,,,
5/17/21 9:04,NET-PD,"A Multicenter, Double-blind, Parallel Group, Placebo Controlled Study of Creatine in Subjects with Treated Parkinson's Disease Long Term Study",Yes,USA,North America,New York,Rochester,1741,1741,0,1741,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2010,Added city and state for American city,,,
5/17/21 15:26,ASAP GP2 - Thessaloniki Study 1,ASAP GP2 - Thessaloniki Study 1,No,Greece,Europe,Thessaloniki,,0,0,0,160,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,Name? Also - no samples (Added name and added a city),,,
5/27/21 12:44,ADepT-PD,Antidepressants trial in Parkinson's disease,Yes,UK,Europe,London,,0,0,0,408,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2023,No samples,,,
5/27/21 16:47,CRU-AA-PD-Chicago,"Care, Research, and Unmet needs for African Americans with Parkinson Disease in Chicago",No,USA,North America,Illinois,Chicago,50,50,0,50,,PD only,"Cross-sectional: one assessment only, with no further contact",2020,"Added city and state for American city, custom made study short name",,,
6/4/21 11:48,PDMDC/NUgene,Northwestern University Parkinson's disease and Movement Disorder Center Biorepository/NUgene Project,Yes,USA,North America,Illinois,Chicago,14394,600,13794,14594,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,"Northwestern University's hospital based in Chicago, added that as city (Added city and state for American city)",,,
6/11/21 15:07,AZSAND/BBDP,Arizona Study of Aging and Neurodegenerative Disorders and Brain and Body Donation Program,No,USA,North America,Arizona,Sun City,2041,274,1767,2191,,"PD, Controls, AD, PSP, CBD, ILBD, DLB, AD-LB",Longitudinal (prospective): multiple face-to-face assessments,9999,Added city and state for American city,,,
6/28/21 4:59,Greek PD Biobank,"Biobank (epidemiological, clinical, genetic) of Greek patients with Parkinson's Disease",No,Greece,Europe,Thessaly ,,800,400,400,1400,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",9999,,,,
7/7/21 9:41,ASAP GP2 - Thessaloniki Study 2,ASAP GP2 - Thessaloniki Study 2,Yes,Greece,Europe,Thessaloniki,,100,100,0,200,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",9999,Name? (ASAP GP2 - Thessaloniki Study 1) ,,,
7/9/21 4:54,ASAP GP2 - Mainz,ASAP GP2 - Mainz,Yes,Germany,Europe,Mainz,,350,250,100,550,,"Defined PD group, e.g. early onset PD, familial PD, DBS",Longitudinal (prospective): multiple face-to-face assessments,9999,Name?,,,
8/3/21 20:43,TONiC PD WA,Trajectory of Outcomes in Neurological Conditions - Parkinson's Disease in Western Australia,No,Australia,Asia/Oceania,Verdun,,0,0,0,900,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,2023,No samples. Also a city named Verdun iin France but no need to specify right?,,,
8/5/21 13:55,BioPark,BioPark,No,Sweden,Europe,Stockholm,,700,600,100,825,,PD only,Longitudinal (prospective): multiple face-to-face assessments,9999,"Cohort was added twice, we kept the most recent entry",,,
8/10/21 10:14,HiPDR,Genetic factors in Hispanic PD population,No,USA,North America,Florida,Miami,90,90,0,240,,PD only,Longitudinal (prospective): multiple face-to-face assessments,9999,Added city and state for American city,,,
8/11/21 10:28,S4,Systemic Synuclein Sampling Study (S4),Yes,USA,North America,Pennsylvania,Pittsburgh,81,60,21,81,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2020,Added city and state for American city,,,
9/8/21 12:11,Trd,Trondheim PD Cohort,No,Norway,Europe,Trondheim,,1900,1300,600,1900,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,2021,Added city,,,
9/9/21 16:53,YOPD,Young onset Parkinson's disease,Yes,USA,North America,N/A,,50,50,0,150,,"Defined PD group, e.g. early onset PD, familial PD, DBS","Cross-sectional: one assessment only, with no further contact",9999,,,,
9/21/21 3:57,PD-Care,Personalised Care for People With Parkinson’s Disease,Yes,UK,Europe,N/A,,360,360,0,720,,PD only,Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
9/27/21 10:40,Idiopathic PD,,Yes,Turkey,Europe,N/A,,500,500,0,600,,PD only,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",9999,,,,
9/27/21 14:20,TiPD,Turkey - Idiopathic Parkinson Disease,Yes,Turkey,Europe,N/A,,550,550,0,650,,PD only,"Cross-sectional: one assessment only, with no further contact",9999,Created short name ,,,
10/8/21 7:14,RAPSODI GD ,Remote Assessment of Parkinsonism Supporting Ongoing Development of Interventions in Gaucher Disease,Yes,UK,Europe,England,,2301,1854,447,3351,,"PD, Gaucher's disease (I/III), GBA carrier, LRRK2 carrier, controls",Longitudinal (prospective): multiple face-to-face assessments,9999,,,,
10/15/21 4:10,SPRINT-ICICLE-SUND,"ICICLE-PD, Sunderland-PD, SPRINT-PD",No,UK,Europe,N/A,,550,350,200,550,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,Looks like 3 cohorts combined,,,
10/29/21,IPDGC Africa - ENND,The Egyptian Network of Neurodegenerative Diseases (ENND),,Egypt,Africa,National,,,,,2400,,PD cases and controls,,9999,"Since this was a national study, I used the short name (ENND) to add to the ""IPDGC Africa""; Ain Shams University, The American University in Cairo, Assiut University, Sohag University, Delta University for Science and Technology, Cairo University, Mansoura University",,,
10/29/21,IPDGC Africa - Addis Ababa,Addis Abbaba university ,,Ethiopia,Africa,Addis Ababa,,,,,600,,PD cases and controls,,9999,,,,
10/29/21,IPDGC Africa - Accra,"Kwame Nkrumah University of Science & Technology,  University of Ghana Medical School",,Ghana,Africa,Accra,,,,,800,,PD cases and controls,,9999,,,,
10/29/21,IPDGC Africa - Bamako,"University of Sciences, Technics and Technologies of Bamako",,Mali,Africa,Bamako,,,,,350,,PD cases and controls,,9999,,,,
10/29/21,IPDGC Africa - National,The Nigerian Parkinson Disease Research (NPDR) Network,,Nigeria,Africa,National,,,,,4000,,PD cases and controls,,9999,"University of Ilorin Teaching Hospital, Lagos University Teaching Hospital. Obafemi Awolowo University, Federal Medical Center, Asaba, Delta State. University of Port Harcourt, University of Port Harcourt Teaching Hospital, Federal Teaching Hospital, Gombe. Asokoro District Hospital, Lagos State University Teaching Hospital. University Teaching Hospital, Jos, Plateau State. Federal Teaching Hospital, Abakaliki, Ebonyi State. Irrua Specialist Hospital, College of Health Sciences Benue State Obafemi Awolowo University Obafemi Awolowo. University of Medical Sciences Teaching Hospitals Complex, Akure. University of Benin. University of Benin Teaching Hospital. University of Uyo Teaching Hospita. Federal Medical Centre, Federal Capital Territory, Abuj. University Teaching Hospital, Oghara. University of Nigeria. University of Nigeria Teaching Hospital. Nnamdi Azikiwe University. Usmanu Danfodiyo University Teaching Hospital Sokoto. Ahmadu Bello University and Ahmadu Bello Teaching Hospital. University of Calabar and University of Calabar Teaching Hospital. General Hospital Isolo. National Hospital, Federal Capital Territory, Abuja",,,
10/29/21,IPDGC Africa - Dar es Salaam,Muhimbili National Hospital (Upanga Branch & Mloganzila Branch),,Tanzania,Africa,Dar es Salaam,,,,,400,,PD cases and controls,,9999,,,,
10/29/21,IPDGC Africa - Lusaka,"University of Zambia, University Teaching Hospital, Department of Internal Medicine, Lusak",,Zambia,Africa,Lusaka,,,,,200,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Tokyo,Juntendo University,,Japan,Asia/Oceania,Tokyo,,,,,825,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Taipei,National Taiwan University Hospital,,Taiwan,Asia/Oceania,Taipei,,,,,2800,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Taoyun,Chang Gang University,,Taiwan,Asia/Oceania,Taoyun,,,,,1000,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Seoul,Yonsei University,,South Korea,Asia/Oceania,Seoul,,,,,1552,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Kuala Lumpur,Universiti Kebangsaan Malaysia,,Malaysia,Asia/Oceania,Kuala Lumpur,,,,,655,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Hanoi,Hanoi Medical University / National Geriatric Hospital,,Vietnam,Asia/Oceania,Hanoi,,,,,500,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Bangkok,"Chulalongkorn Centre of Excellenc efor Parkinson's Disease & Related Disorders, Chulalongkorn University Hospital",,Thailand,Asia/Oceania,Bangkok,,,,,200,,PD cases and controls,,9999,,,,
10/29/21,IPDGC East Asia - Tokyo,Jikei Univeristy,,Japan,Asia/Oceania,Tokyo,,,,,370,,PD cases and controls,,9999,,,,
11/1/21,LARGE PD - Buenos Aires,Instituto de Neurociencias de Buenos Aires,,Argentina,South America,Buenos Aires,,,,,200,,PD cases and controls,,9999,,,,
11/2/21,LARGE PD - Riberao Preto,Hospital das Clinicas de Faculdade de Medicine de Ribeirao Preto Da USP,,Brazil,South America,Riberao Preto,,,,,2000,,PD cases and controls,,9999,,,,
11/3/21,LARGE PD - Santiago (CETRAM),Centro de Transtornos del Movimiento (CETRAM),,Chile,South America,Santiago,,,,,600,,PD cases and controls,,9999,"Two cohorts are from Santiago, added CETRAM to this one",,,
11/4/21,LARGE PD - Santiago,Universidad de Chile,,Chile,South America,Santiago,,,,,300,,PD cases and controls,,9999,,,,
11/5/21,LARGE PD - Medellin,Universidad de Antioquia,,Colombia,South America,Medellin,,,,,200,,PD cases and controls,,9999,,,,
11/6/21,LARGE PD - Bogota,Universidad Nacional de Colombia,,Colombia,South America,Bogota,,,,,400,,PD cases and controls,,9999,,,,
11/7/21,LARGE PD - Cali ,Fundadcion Valle del Lili,,Colombia,South America,Cali ,,,,,200,,PD cases and controls,,9999,,,,
11/8/21,LARGE PD - San Jose,University of Costa Rica,,Costa Rica,North America,San Jose,,,,,100,,PD cases and controls,,9999,,,,
11/9/21,LARGE PD - Tegucigalpa,Hospital San Felipe,,Honduras,North America,Tegucigalpa,,,,,50,,PD cases and controls,,9999,,,,
11/10/21,LARGE PD - Monterrey,TecSalud,,Mexico,South America,Monterrey,,,,,1500,,PD cases and controls,,9999,,,,
11/11/21,LARGE PD - CDMX,Universidad Nacional Autonoma de Mexico,,Mexico,South America,CDMX,,,,,5000,,PD cases and controls,,9999,,,,
11/12/21,LARGE PD - Lima,Instituto Nacional de Ciencias Neurologicas,,Peru,South America,Lima,,,,,900,,PD cases and controls,,9999,,,,
